Name,Address,Phone,Email
Green Table Restaurant,"14 Hietalahdenkatu, Helsinki",+358 9 123 4567,orders@greentable.fi
Organic Market Oy,"7 Kauppakatu, Tampere",+358 3 987 6543,buy@organicmarket.fi
Nordic Fresh Ltd,"33 Mannerheimintie, Helsinki",+358 9 555 0011,procurement@nordicfresh.fi
Café Vihreä,"2 Yrjönkatu, Helsinki",+358 9 444 1122,hello@cafevihrea.fi
Helsinki University Canteen,"1 Fabianinkatu, Helsinki",+358 9 191 00,catering@helsinki.fi
FreshBox Subscriptions,"88 Aleksanterinkatu, Helsinki",+358 50 777 3344,admin@freshbox.fi
Ravintola Sato,"5 Bulevardi, Helsinki",+358 9 311 2200,kitchen@ravintolosato.fi
EcoGrocers Turku,"12 Aurakatu, Turku",+358 2 666 8800,info@ecogrocers.fi
Salad Studio,"21 Iso Roobertinkatu, Helsinki",+358 9 202 5566,order@saladstudio.fi
Bistro Kasvi,"4 Uudenmaankatu, Helsinki",+358 9 100 2345,bistrokasvi@mail.fi
Tampere Health Foods,"9 Hämeenkatu, Tampere",+358 3 500 7711,shop@tamperehealth.fi
Espoo School Catering,"55 Espoonkatu, Espoo",+358 9 816 2200,catering@espooschool.fi
Leaf & Fork Deli,"17 Korkeavuorenkatu, Helsinki",+358 9 404 9900,deli@leafandfork.fi
