Name,Template,Sales Price (€),Cost Price (€),Margin (€),Margin (%),Quantity,Description
Butter Lettuce (500g),Lettuce,4.50,1.80,2.70,60.0%,76,"Soft, smooth leaves"
Romaine Lettuce (500g),Lettuce,3.90,1.50,2.40,61.5%,93,"Crisp, upright leaves"
Red Oak Lettuce (250g),Lettuce,3.20,1.20,2.00,62.5%,72,Reddish frilly variety
Sunflower Microgreens (100g),Microgreens,6.00,2.20,3.80,63.3%,44,"Nutty flavour, thick stems"
Pea Shoot Microgreens (100g),Microgreens,5.50,2.00,3.50,63.6%,37,Sweet & crunchy
Radish Microgreens (100g),Microgreens,5.00,1.80,3.20,64.0%,47,Spicy kick
Basil (50g pot),Herb,3.50,1.10,2.40,68.6%,75,Italian sweet basil
Coriander (50g pot),Herb,3.20,1.00,2.20,68.8%,123,Fresh cilantro
Mint (50g pot),Herb,3.00,0.90,2.10,70.0%,115,Spearmint variety
Chives (50g pot),Herb,2.80,0.85,1.95,69.6%,90,Mild onion flavour
Mixed Salad Box (1kg),,9.50,3.80,5.70,60.0%,24,Seasonal mixed leaves
Sprout Mix (200g),,4.20,1.60,2.60,61.9%,68,Assorted sprouted seeds
